epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,13801,0.70849,0.86231,1.21549,0.93663,0.94184,0.97252,0.75041,0.83507,0.41673,1.29377,0.000232997,0.000232997,0.000232997
56,14049.9,0.69307,0.84033,1.20651,0.95902,0.92803,0.96736,0.73049,0.89009,0.42717,1.34181,0.000224899,0.000224899,0.000224899
57,14299.7,0.68266,0.82682,1.20237,0.92846,0.94485,0.96649,0.73445,0.85054,0.42899,1.2982,0.000216842,0.000216842,0.000216842
58,14548.4,0.69833,0.83587,1.206,0.94716,0.94065,0.96917,0.75368,0.82331,0.41442,1.28831,0.000208832,0.000208832,0.000208832
59,14796.9,0.68417,0.84034,1.2083,0.93403,0.94512,0.96896,0.75813,0.8168,0.42032,1.29152,0.000200879,0.000200879,0.000200879
60,15045.3,0.67398,0.82699,1.19899,0.94758,0.94054,0.97054,0.7589,0.80082,0.39888,1.28728,0.000192989,0.000192989,0.000192989
61,15293.7,0.67568,0.81227,1.19195,0.95094,0.93129,0.97167,0.73891,0.87606,0.42884,1.35542,0.000185171,0.000185171,0.000185171
62,15541.8,0.67065,0.81669,1.19587,0.94743,0.93254,0.97127,0.73709,0.89047,0.4252,1.33732,0.000177433,0.000177433,0.000177433
63,15789.6,0.66855,0.80712,1.18775,0.94326,0.93011,0.9728,0.74635,0.85216,0.41263,1.32742,0.000169781,0.000169781,0.000169781
64,16037.8,0.66079,0.78694,1.18766,0.96576,0.92554,0.97418,0.72796,0.91543,0.42024,1.40415,0.000162225,0.000162225,0.000162225
65,16285.9,0.65953,0.78065,1.18176,0.95796,0.9289,0.97258,0.75455,0.81256,0.40142,1.27115,0.00015477,0.00015477,0.00015477
66,16540.6,0.65471,0.78549,1.17641,0.94413,0.93914,0.97266,0.74443,0.86699,0.40339,1.38524,0.000147424,0.000147424,0.000147424
67,16790,0.65398,0.77933,1.18679,0.95727,0.93834,0.97504,0.76968,0.79867,0.38225,1.27429,0.000140196,0.000140196,0.000140196
