epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
17,977.825,0.7841,1.01474,1.16243,0.90961,0.83838,0.92044,0.68814,0.90219,0.62254,1.14845,0.000442682,0.000442682,0.000442682
18,1035.29,0.76268,0.9901,1.15901,0.906,0.84023,0.91794,0.63998,1.09093,0.63256,1.39889,0.000437474,0.000437474,0.000437474
19,1097.02,0.75042,0.95453,1.14478,0.88636,0.84168,0.91073,0.68789,0.8723,0.62363,1.12571,0.000432267,0.000432267,0.000432267
20,1155.94,0.75131,0.95722,1.15286,0.87941,0.86524,0.92004,0.72429,0.79297,0.57262,1.06487,0.000427059,0.000427059,0.000427059
21,1214.55,0.75222,0.93124,1.14343,0.89923,0.84664,0.93029,0.72235,0.83934,0.54702,1.12978,0.000421852,0.000421852,0.000421852
22,1272.91,0.74733,0.9275,1.14236,0.88805,0.87111,0.93176,0.72937,0.80927,0.54476,1.10796,0.000416645,0.000416645,0.000416645
23,1334.68,0.74218,0.89681,1.13655,0.94073,0.86034,0.94265,0.73313,0.80855,0.52977,1.101,0.000411437,0.000411437,0.000411437
24,1398.71,0.72501,0.91075,1.13018,0.90046,0.86249,0.93313,0.71992,0.8319,0.5495,1.10751,0.00040623,0.00040623,0.00040623
25,1460.42,0.73711,0.88277,1.13164,0.92343,0.86576,0.9387,0.73897,0.78424,0.5033,1.0629,0.000401022,0.000401022,0.000401022
26,1521.21,0.73392,0.89136,1.12526,0.9199,0.87031,0.94162,0.7551,0.74524,0.51468,1.05514,0.000395815,0.000395815,0.000395815
27,1582.43,0.71178,0.86912,1.1221,0.91685,0.86145,0.93565,0.74754,0.74497,0.51804,1.0575,0.000390608,0.000390608,0.000390608
28,1644.43,0.71731,0.87148,1.1244,0.90868,0.88107,0.93462,0.7332,0.78221,0.49797,1.07781,0.0003854,0.0003854,0.0003854
29,1705.49,0.6988,0.85169,1.1056,0.93478,0.8878,0.94793,0.73255,0.81509,0.49484,1.10607,0.000380193,0.000380193,0.000380193
30,1767.2,0.70864,0.84248,1.1123,0.92673,0.87553,0.94594,0.73983,0.80425,0.50263,1.07323,0.000374985,0.000374985,0.000374985
31,1826.7,0.69517,0.83589,1.1098,0.92125,0.90208,0.95283,0.73861,0.80919,0.47155,1.08433,0.000369778,0.000369778,0.000369778
32,1887.62,0.68902,0.80901,1.10379,0.9358,0.90081,0.95561,0.75531,0.7892,0.4594,1.08325,0.000364571,0.000364571,0.000364571
33,1948.26,0.68916,0.80063,1.1028,0.91911,0.90364,0.9525,0.75465,0.77208,0.47876,1.06442,0.000359363,0.000359363,0.000359363
34,2008.54,0.68385,0.79859,1.10126,0.95272,0.9142,0.96191,0.75372,0.80648,0.45555,1.11818,0.000354156,0.000354156,0.000354156
35,2069.86,0.68758,0.81225,1.10637,0.93599,0.90902,0.95834,0.74258,0.82197,0.47009,1.12061,0.000348948,0.000348948,0.000348948
36,2131.28,0.68876,0.79567,1.09633,0.9305,0.90818,0.95433,0.74776,0.78502,0.45784,1.07854,0.000343741,0.000343741,0.000343741
37,2194.01,0.67783,0.77242,1.09312,0.93161,0.90309,0.95694,0.7575,0.76315,0.44172,1.08049,0.000338534,0.000338534,0.000338534
38,2257.55,0.67193,0.78076,1.10037,0.9231,0.90279,0.95782,0.75963,0.76207,0.45605,1.05267,0.000333326,0.000333326,0.000333326
39,2321.19,0.67072,0.77082,1.09467,0.93163,0.91827,0.96109,0.7705,0.7306,0.44423,1.03926,0.000328119,0.000328119,0.000328119
40,2383.21,0.67359,0.76333,1.08802,0.93371,0.88264,0.94591,0.76248,0.71901,0.4594,1.02426,0.000322911,0.000322911,0.000322911
41,2446.05,0.65966,0.76618,1.09018,0.95138,0.90377,0.96243,0.78305,0.72326,0.43205,1.02847,0.000317704,0.000317704,0.000317704
